ID,ID CALLE,NOMBRE,ID ORIGEN, ID DESTINO,ORIGEN, DESTINO,DISTANCIA KM,VELOCIDAD KM/H,COSTO,COSTO INVERSO,LATITUD ORIGEN,LONGITUD ORIGEN,LATITUD DESTINO,LONGITUD DESTINO
1,4827820,PLAZA 2 DE MAYO,31035122,31035142,1,6,0.0389729,70,0.0005568,1000000,-12.0459308,-77.0427831,-12.0460958,-77.0430896
2,4827820,PLAZA 2 DE MAYO,31035142,31035109,6,90275,0.0040401,70,5.77E-05,1000000,-12.0460958,-77.0430896,-12.0461253,-77.0431113
3,4827820,PLAZA 2 DE MAYO,31035109,31035110,90275,79,0.0182271,70,0.0002604,1000000,-12.0461253,-77.0431113,-12.0462768,-77.0431753
4,4827820,PLAZA 2 DE MAYO,31035110,31035112,79,51668,0.0376738,70,0.0005382,1000000,-12.0462768,-77.0431753,-12.0466033,-77.0431118
5,4827820,PLAZA 2 DE MAYO,31035112,31035113,51668,7,0.0108272,70,0.0001547,1000000,-12.0466033,-77.0431118,-12.0466783,-77.0430483
6,4827820,PLAZA 2 DE MAYO,31035113,31035116,7,10,0.0723266,70,0.0010332,1000000,-12.0466783,-77.0430483,-12.0466949,-77.042435
7,4827820,PLAZA 2 DE MAYO,31035116,31035117,10,89757,0.0229747,70,0.0003282,1000000,-12.0466949,-77.042435,-12.0465202,-77.0423222
8,4827820,PLAZA 2 DE MAYO,31035117,310954401,89757,3473,0.0077038,70,0.0001101,1000000,-12.0465202,-77.0423222,-12.0464537,-77.0423023
9,4827820,PLAZA 2 DE MAYO,310954401,31035119,3473,3472,0.0283858,70,0.0004055,1000000,-12.0464537,-77.0423023,-12.0462019,-77.0423251
10,4827820,PLAZA 2 DE MAYO,31035119,31035121,3472,2,0.0410751,70,0.0005868,1000000,-12.0462019,-77.0423251,-12.0459528,-77.0425923
11,4827820,PLAZA 2 DE MAYO,31035121,31035122,2,1,0.0209908,70,0.0002999,1000000,-12.0459528,-77.0425923,-12.0459308,-77.0427831
14,4827822,PLAZA RAMON CASTILLA,31035125,1701657053,3,4,0.0347841,70,0.0004969,0.0004969,-12.0437464,-77.0427216,-12.0435317,-77.0424959
18,4827827,ALFONSO UGARTE,31035113,915282067,7,20398,0.114548,70,0.0016364,1000000,-12.0466783,-77.0430483,-12.0476133,-77.0427867
19,4827827,ALFONSO UGARTE,915282067,1830379614,20398,89758,0.0635568,70,0.000908,1000000,-12.0476133,-77.0427867,-12.0481839,-77.0427525
20,4827827,ALFONSO UGARTE,1830379614,1834904133,89758,25784,0.1010591,70,0.0014437,1000000,-12.0481839,-77.0427525,-12.0490875,-77.0426528
21,4827827,ALFONSO UGARTE,1834904133,1834904233,25784,25783,0.1550278,70,0.0022147,1000000,-12.0490875,-77.0426528,-12.0504785,-77.0425563
22,4827827,ALFONSO UGARTE,1834904233,310953976,25783,3456,0.0374161,70,0.0005345,1000000,-12.0504785,-77.0425563,-12.0508129,-77.042518
23,4827827,ALFONSO UGARTE,310953976,525863374,3456,10285,0.1255678,70,0.0017938,1000000,-12.0508129,-77.042518,-12.051938,-77.042419
24,4827827,ALFONSO UGARTE,525863374,912508069,10285,20279,0.1646514,70,0.0023522,1000000,-12.051938,-77.042419,-12.0534139,-77.0422966
25,4827827,ALFONSO UGARTE,912508069,915282634,20279,2996,0.1194252,70,0.0017061,1000000,-12.0534139,-77.0422966,-12.054484,-77.0422029
26,4827827,ALFONSO UGARTE,915282634,912508037,2996,61002,0.1045035,70,0.0014929,1000000,-12.054484,-77.0422029,-12.0554202,-77.0421186
27,4827827,ALFONSO UGARTE,912508037,1354143299,61002,51747,0.0878776,70,0.0012554,1000000,-12.0554202,-77.0421186,-12.056207,-77.0420426
28,4827827,ALFONSO UGARTE,1354143299,2053915199,51747,93140,0.0600874,70,0.0008584,1000000,-12.056207,-77.0420426,-12.0567463,-77.0420077
29,4827827,ALFONSO UGARTE,2053915199,593974687,93140,90309,0.0477427,70,0.000682,1000000,-12.0567463,-77.0420077,-12.0571748,-77.0419799
30,4827827,ALFONSO UGARTE,593974687,593974689,90309,10593,0.0989071,70,0.001413,1000000,-12.0571748,-77.0419799,-12.0580606,-77.0418971
31,4827827,ALFONSO UGARTE,593974689,912507979,10593,20265,0.0714842,70,0.0010212,1000000,-12.0580606,-77.0418971,-12.058701,-77.0418395
32,4827827,ALFONSO UGARTE,912507979,107774938,20265,8,0.1159056,70,0.0016558,1000000,-12.058701,-77.0418395,-12.0597402,-77.0417789
33,4827828,ALFONSO UGARTE,107774958,1856633195,9,90834,0.1676419,70,0.0023949,1000000,-12.0597176,-77.0414237,-12.0582271,-77.041607
34,4827828,ALFONSO UGARTE,1856633195,107772857,90834,90833,0.01183,70,0.000169,1000000,-12.0582271,-77.041607,-12.0581253,-77.0415754
35,4827828,ALFONSO UGARTE,107772857,107772858,90833,51748,0.2161246,70,0.0030875,1000000,-12.0581253,-77.0415754,-12.0561917,-77.0417773
36,4827828,ALFONSO UGARTE,107772858,31035148,51748,10284,0.1932179,70,0.0027603,1000000,-12.0561917,-77.0417773,-12.0544607,-77.0419326
37,4827828,ALFONSO UGARTE,31035148,912508049,10284,20140,0.2303417,70,0.0032906,1000000,-12.0544607,-77.0419326,-12.0523964,-77.0421092
38,4827828,ALFONSO UGARTE,912508049,912507969,20140,20106,0.0644799,70,0.0009211,1000000,-12.0523964,-77.0421092,-12.051819,-77.042164
39,4827828,ALFONSO UGARTE,912507969,525863808,20106,10287,0.1093054,70,0.0015615,1000000,-12.051819,-77.042164,-12.0508402,-77.0422569
40,4827828,ALFONSO UGARTE,525863808,31035172,10287,20101,0.0784361,70,0.0011205,1000000,-12.0508402,-77.0422569,-12.0501363,-77.0423038
41,4827828,ALFONSO UGARTE,31035172,912508039,20101,20107,0.0715541,70,0.0010222,1000000,-12.0501363,-77.0423038,-12.0494928,-77.0423052
42,4827828,ALFONSO UGARTE,912508039,1841915460,20107,20136,0.1346623,70,0.0019237,1000000,-12.0494928,-77.0423052,-12.0482875,-77.0424257
43,4827828,ALFONSO UGARTE,1841915460,912508022,20136,20131,0.0639633,70,0.0009138,1000000,-12.0482875,-77.0424257,-12.047715,-77.042483
44,4827828,ALFONSO UGARTE,912508022,31035116,20131,10,0.1178761,70,0.0016839,1000000,-12.047715,-77.042483,-12.0466949,-77.042435
45,4827829,ALFONSO UGARTE,31035131,1617076657,11,65165,0.1448711,60,0.0024145,0.0024145,-12.0429406,-77.0428589,-12.0416523,-77.0430249
46,4827829,ALFONSO UGARTE,1617076657,2397243489,65165,26831,0.0215733,60,0.0003596,0.0003596,-12.0416523,-77.0430249,-12.0414592,-77.0430441
47,4827829,ALFONSO UGARTE,2397243489,2397243477,26831,37013,0.0161986,60,0.00027,0.00027,-12.0414592,-77.0430441,-12.0413142,-77.0430584
48,4827829,ALFONSO UGARTE,2397243477,31035152,37013,12,0.1028857,60,0.0017148,0.0017148,-12.0413142,-77.0430584,-12.0404055,-77.0432194
53,4827832,ALFONSO UGARTE,31035159,309998239,13,15,0.2841521,70,0.0040593,0.0040593,-12.040437,-77.0433858,-12.0429803,-77.0431366
54,4827838,ALFONSO UGARTE,309998242,31035152,16,12,0.2843093,70,0.0040616,0.0040616,-12.0429513,-77.0429851,-12.0404055,-77.0432194
55,4827843,PLAZA FRANCISCO BOLOGNESI,2053915269,107774936,17,93168,0.0142102,70,0.000203,1000000,-12.0596939,-77.0415471,-12.0597048,-77.0416773
56,4827843,PLAZA FRANCISCO BOLOGNESI,107774936,107774938,93168,8,0.0117283,70,0.0001675,1000000,-12.0597048,-77.0416773,-12.0597402,-77.0417789
57,4827843,PLAZA FRANCISCO BOLOGNESI,107774938,107774940,8,3765,0.0419663,70,0.0005995,1000000,-12.0597402,-77.0417789,-12.0600042,-77.0420464
58,4827843,PLAZA FRANCISCO BOLOGNESI,107774940,107774941,3765,12773,0.0151546,70,0.0002165,1000000,-12.0600042,-77.0420464,-12.0601274,-77.042106
59,4827843,PLAZA FRANCISCO BOLOGNESI,107774941,309998790,12773,3451,0.0537185,70,0.0007674,1000000,-12.0601274,-77.042106,-12.060592,-77.0419873
60,4827843,PLAZA FRANCISCO BOLOGNESI,309998790,1943098867,3451,91660,0.0093616,70,0.0001337,1000000,-12.060592,-77.0419873,-12.0606399,-77.0419165
61,4827843,PLAZA FRANCISCO BOLOGNESI,1943098867,1943098942,91660,91696,0.0070725,70,0.000101,1000000,-12.0606399,-77.0419165,-12.0606707,-77.0418596
62,4827843,PLAZA FRANCISCO BOLOGNESI,1943098942,107774945,91696,3725,0.0083748,70,0.0001196,1000000,-12.0606707,-77.0418596,-12.060712,-77.0417952
63,4827843,PLAZA FRANCISCO BOLOGNESI,107774945,107774948,3725,3726,0.0516912,70,0.0007384,1000000,-12.060712,-77.0417952,-12.0607307,-77.0413332
64,4827843,PLAZA FRANCISCO BOLOGNESI,107774948,107774949,3726,3729,0.0163757,70,0.0002339,1000000,-12.0607307,-77.0413332,-12.0606567,-77.041203
65,4827843,PLAZA FRANCISCO BOLOGNESI,107774949,107774952,3729,231,0.0475607,70,0.0006794,1000000,-12.0606567,-77.041203,-12.0602924,-77.0409936
66,4827843,PLAZA FRANCISCO BOLOGNESI,107774952,1856633207,231,230,0.0236399,70,0.0003377,1000000,-12.0602924,-77.0409936,-12.0600813,-77.0410124
67,4827843,PLAZA FRANCISCO BOLOGNESI,1856633207,107774957,230,20253,0.0391862,70,0.0005598,1000000,-12.0600813,-77.0410124,-12.0597955,-77.0412134
68,4827843,PLAZA FRANCISCO BOLOGNESI,107774957,107774958,20253,9,0.0244624,70,0.0003495,1000000,-12.0597955,-77.0412134,-12.0597176,-77.0414237
69,4827843,PLAZA FRANCISCO BOLOGNESI,107774958,2053915269,9,17,0.013675,70,0.0001954,1000000,-12.0597176,-77.0414237,-12.0596939,-77.0415471
70,4827844,ALFONSO UGARTE,31035152,31035185,12,22,0.032881,70,0.0004697,1000000,-12.0404055,-77.0432194,-12.0401117,-77.0432537
71,4827844,ALFONSO UGARTE,31035185,31035182,22,18,0.0744192,70,0.0010631,1000000,-12.0401117,-77.0432537,-12.0394442,-77.0433034
72,4827845,PUENTE DEL EJERCITO,31035181,31035183,19,20,0.0974909,70,0.0013927,1000000,-12.0385756,-77.0435026,-12.0394508,-77.0434492
73,4827846,ALFONSO UGARTE,31035183,31035159,20,13,0.1098769,70,0.0015697,1000000,-12.0394508,-77.0434492,-12.040437,-77.0433858
74,4827847,PUENTE DEL EJERCITO,31035182,31035180,18,21,0.0980053,70,0.0014001,1000000,-12.0394442,-77.0433034,-12.0385665,-77.0433857
75,4827849,VICENTE MORALES DUAREZ,31035185,31035188,22,39036,0.1175823,40,0.0029396,0.0029396,-12.0401117,-77.0432537,-12.0391213,-77.0432921
76,4827849,VICENTE MORALES DUAREZ,31035188,31035189,39036,24,0.0501762,40,0.0012544,0.0012544,-12.0391213,-77.0432921,-12.0391632,-77.0437515
77,4827849,VICENTE MORALES DUAREZ,31035189,31035190,24,33935,0.1810788,40,0.004527,0.004527,-12.0391632,-77.0437515,-12.0392703,-77.045413
78,4827849,VICENTE MORALES DUAREZ,31035190,915282203,33935,20381,0.0982214,40,0.0024555,0.0024555,-12.0392703,-77.045413,-12.0391127,-77.0463017
79,4827849,VICENTE MORALES DUAREZ,915282203,915282184,20381,20480,0.0436569,40,0.0010914,0.0010914,-12.0391127,-77.0463017,-12.0390045,-77.0466876
80,4827849,VICENTE MORALES DUAREZ,915282184,915282434,20480,20423,0.0340151,40,0.0008504,0.0008504,-12.0390045,-77.0466876,-12.0389009,-77.0469819
81,4827849,VICENTE MORALES DUAREZ,915282434,915282565,20423,20540,0.031001,40,0.000775,0.000775,-12.0389009,-77.0469819,-12.0388141,-77.0472528
82,4827849,VICENTE MORALES DUAREZ,915282565,1850885633,20540,90804,0.0089938,40,0.0002248,0.0002248,-12.0388141,-77.0472528,-12.038775,-77.0473252
83,4827849,VICENTE MORALES DUAREZ,1850885633,915282251,90804,20429,0.0311034,40,0.0007776,0.0007776,-12.038775,-77.0473252,-12.0386386,-77.0475749
84,4827849,VICENTE MORALES DUAREZ,915282251,1273873869,20429,31230,0.0259715,40,0.0006493,0.0006493,-12.0386386,-77.0475749,-12.0385001,-77.0477672
85,4827849,VICENTE MORALES DUAREZ,1273873869,1273832462,31230,40035,0.1138706,40,0.0028468,0.0028468,-12.0385001,-77.0477672,-12.037907,-77.0486208
86,4827849,VICENTE MORALES DUAREZ,1273832462,1038173149,40035,20930,0.0417253,40,0.0010431,0.0010431,-12.037907,-77.0486208,-12.0377422,-77.0489655
87,4827849,VICENTE MORALES DUAREZ,1038173149,1038172927,20930,20861,0.1094539,40,0.0027363,0.0027363,-12.0377422,-77.0489655,-12.0375013,-77.0499369
88,4827849,VICENTE MORALES DUAREZ,1038172927,1273973301,20861,42858,0.0464032,40,0.0011601,0.0011601,-12.0375013,-77.0499369,-12.0374536,-77.0503608
89,4827849,VICENTE MORALES DUAREZ,1273973301,2397317879,42858,94628,0.045089,40,0.0011272,0.0011272,-12.0374536,-77.0503608,-12.037392,-77.0507706
90,4827849,VICENTE MORALES DUAREZ,2397317879,1038173154,94628,20907,0.0464696,40,0.0011617,0.0011617,-12.037392,-77.0507706,-12.0373606,-77.0511967
91,4827849,VICENTE MORALES DUAREZ,1038173154,1273697649,20907,31491,0.0183552,40,0.0004589,0.0004589,-12.0373606,-77.0511967,-12.0373411,-77.0513643
92,4827849,VICENTE MORALES DUAREZ,1273697649,2397317891,31491,94637,0.0153358,40,0.0003834,0.0003834,-12.0373411,-77.0513643,-12.0373272,-77.0515046
93,4827849,VICENTE MORALES DUAREZ,2397317891,1273901467,94637,35587,0.040247,40,0.0010062,0.0010062,-12.0373272,-77.0515046,-12.0372907,-77.0518728
94,4827849,VICENTE MORALES DUAREZ,1273901467,1038173035,35587,20939,0.022307,40,0.0005577,0.0005577,-12.0372907,-77.0518728,-12.0372606,-77.0520756
95,4827849,VICENTE MORALES DUAREZ,1038173035,1038172972,20939,20887,0.3524153,40,0.0088104,0.0088104,-12.0372606,-77.0520756,-12.0369201,-77.0552974
96,4827849,VICENTE MORALES DUAREZ,1038172972,1038172985,20887,20220,0.1313038,40,0.0032826,0.0032826,-12.0369201,-77.0552974,-12.0367583,-77.0564924
97,4827849,VICENTE MORALES DUAREZ,1038172985,1038172995,20220,20889,0.1503222,40,0.0037581,0.0037581,-12.0367583,-77.0564924,-12.0365066,-77.0578505
98,4827849,VICENTE MORALES DUAREZ,1038172995,31036638,20889,20872,0.138089,40,0.0034522,0.0034522,-12.0365066,-77.0578505,-12.0362755,-77.0590981
99,4827849,VICENTE MORALES DUAREZ,31036638,1038173045,20872,20867,0.0378269,40,0.0009457,0.0009457,-12.0362755,-77.0590981,-12.036219,-77.0594411
100,4827849,VICENTE MORALES DUAREZ,1038173045,31036639,20867,20525,0.1476881,40,0.0036922,0.0036922,-12.036219,-77.0594411,-12.0359985,-77.0607803
101,4827849,VICENTE MORALES DUAREZ,31036639,1038173039,20525,20822,0.1403296,40,0.0035082,0.0035082,-12.0359985,-77.0607803,-12.0358234,-77.0620582
102,4827849,VICENTE MORALES DUAREZ,1038173039,1038173044,20822,20825,0.095163,40,0.0023791,0.0023791,-12.0358234,-77.0620582,-12.0357047,-77.0629248
103,4827849,VICENTE MORALES DUAREZ,1038173044,1273840659,20825,40566,0.0634979,40,0.0015874,0.0015874,-12.0357047,-77.0629248,-12.0356381,-77.0635047
104,4827849,VICENTE MORALES DUAREZ,1273840659,1038173115,40566,20912,0.0311573,40,0.0007789,0.0007789,-12.0356381,-77.0635047,-12.0355926,-77.0637874
105,4827849,VICENTE MORALES DUAREZ,1038173115,306072587,20912,23,0.1122507,40,0.0028063,0.0028063,-12.0355926,-77.0637874,-12.035446,-77.0648086
106,4827850,ALFONSO UGARTE,31035189,31035161,24,25,0.2517225,50,0.0050345,0.0050345,-12.0391632,-77.0437515,-12.0412894,-77.0433946
107,4827860,CIRCUNVALACION,31035237,31035238,26,29,0.0654825,50,0.0013096,0.0013096,-12.0376999,-77.0429004,-12.0376438,-77.042301
108,4827860,CIRCUNVALACION,31035238,31035239,29,30610,0.0551753,50,0.0011035,0.0011035,-12.0376438,-77.042301,-12.037488,-77.0418193
109,4827860,CIRCUNVALACION,31035239,31035234,30610,27,0.04932,50,0.0009864,0.0009864,-12.037488,-77.0418193,-12.0373416,-77.0413912
120,4827863,AVENIDA CAQUETA,31035180,31035230,21,94626,0.0440851,70,0.0006298,1000000,-12.0385665,-77.0433857,-12.0381727,-77.0434326
121,4827863,AVENIDA CAQUETA,31035230,31035266,94626,32,0.0958706,70,0.0013696,1000000,-12.0381727,-77.0434326,-12.0373115,-77.043417
122,4827863,AVENIDA CAQUETA,31035266,331611056,32,30,0.0494525,70,0.0007065,1000000,-12.0373115,-77.043417,-12.0368677,-77.0434465
139,4827876,AV. ZARUMILLA,1379446748,31035457,57685,57686,0.2833007,30,0.0094434,1000000,-12.0362113,-77.0462802,-12.0376028,-77.044098
138,4827876,AV. ZARUMILLA,31035623,1379446748,41,57685,0.102389,30,0.003413,1000000,-12.0357359,-77.0470859,-12.0362113,-77.0462802
140,4827876,AV. ZARUMILLA,31035457,1379446792,57686,42,0.0547996,30,0.0018267,1000000,-12.0376028,-77.044098,-12.0379401,-77.0437464
141,4827878,HECTOR GARCIA RIBEYRO,31035344,31035346,43,44,0.2240904,30,0.0074697,1000000,-12.0349947,-77.0438989,-12.035729,-77.0458068
142,4827883,EL TREBOL,31035512,885831110,45,19867,0.0111293,70,0.000159,1000000,-12.0374088,-77.0404556,-12.037369,-77.0405495
143,4827883,EL TREBOL,885831110,1273493633,19867,44550,0.0900104,70,0.0012859,1000000,-12.037369,-77.0405495,-12.0370376,-77.041303
144,4827883,EL TREBOL,1273493633,885831032,44550,19846,0.0334652,70,0.0004781,1000000,-12.0370376,-77.041303,-12.0368464,-77.0415396
145,4827883,EL TREBOL,885831032,31035540,19846,38658,0.1130552,70,0.0016151,1000000,-12.0368464,-77.0415396,-12.0360449,-77.0421723
146,4827883,EL TREBOL,31035540,885831029,38658,19878,0.1168493,70,0.0016693,1000000,-12.0360449,-77.0421723,-12.0355208,-77.0431036
147,4827883,EL TREBOL,885831029,31035541,19878,46,0.06824,70,0.0009749,1000000,-12.0355208,-77.0431036,-12.0352129,-77.0436464
148,4827892,AVENIDA CAQUETA,331611041,31035284,47,35,0.0108521,70,0.000155,1000000,-12.0361259,-77.0435159,-12.0360293,-77.0435301
149,4827892,AVENIDA CAQUETA,31035284,31035541,35,46,0.0916563,70,0.0013094,1000000,-12.0360293,-77.0435301,-12.0352129,-77.0436464
150,4827892,AVENIDA CAQUETA,31035541,1379446682,46,19837,0.0642062,70,0.0009172,1000000,-12.0352129,-77.0436464,-12.034638,-77.0437015
151,4827892,AVENIDA CAQUETA,1379446682,2397243494,19837,19826,0.1764419,70,0.0025206,1000000,-12.034638,-77.0437015,-12.0330559,-77.0438259
152,4827892,AVENIDA CAQUETA,2397243494,1379446648,19826,19855,0.0571428,70,0.0008163,1000000,-12.0330559,-77.0438259,-12.0325439,-77.043871
153,4827892,AVENIDA CAQUETA,1379446648,2397243479,19855,19822,0.0474204,70,0.0006774,1000000,-12.0325439,-77.043871,-12.0321192,-77.0439106
154,4827892,AVENIDA CAQUETA,2397243479,885930871,19822,20000,0.1278327,70,0.0018262,1000000,-12.0321192,-77.0439106,-12.0309741,-77.0440148
155,4827892,AVENIDA CAQUETA,885930871,885930793,20000,19939,0.055008,70,0.0007858,1000000,-12.0309741,-77.0440148,-12.0304805,-77.0440485
156,4827892,AVENIDA CAQUETA,885930793,1870228445,19939,90861,0.1696052,70,0.0024229,1000000,-12.0304805,-77.0440485,-12.0289605,-77.0441783
157,4827892,AVENIDA CAQUETA,1870228445,31035563,90861,50,0.0283323,70,0.0004047,1000000,-12.0289605,-77.0441783,-12.028706,-77.0441692
158,4827892,AVENIDA CAQUETA,31035563,31035556,50,48,0.0487728,70,0.0006968,1000000,-12.028706,-77.0441692,-12.0282786,-77.0442447
187,4827894,AVENIDA TUPAC AMARU,599283678,1156771011,10610,10608,0.0527472,70,0.0007535,1000000,-11.8988049,-77.0303464,-11.8992698,-77.030441
159,4827894,AVENIDA TUPAC AMARU,1617117594,1814939611,49,87469,0.0353346,70,0.0005048,1000000,-11.8669587,-77.0114993,-11.8671981,-77.0117102
160,4827894,AVENIDA TUPAC AMARU,1814939611,1814939697,87469,88515,0.100234,70,0.0014319,1000000,-11.8671981,-77.0117102,-11.8679356,-77.0122398
161,4827894,AVENIDA TUPAC AMARU,1814939697,1814939808,88515,88582,0.1259313,70,0.001799,1000000,-11.8679356,-77.0122398,-11.8688702,-77.0128934
162,4827894,AVENIDA TUPAC AMARU,1814939808,599286836,88582,88396,0.1322806,70,0.0018897,1000000,-11.8688702,-77.0128934,-11.8698551,-77.0135752
163,4827894,AVENIDA TUPAC AMARU,599286836,1814939998,88396,88586,0.1275293,70,0.0018218,1000000,-11.8698551,-77.0135752,-11.8708533,-77.0141523
164,4827894,AVENIDA TUPAC AMARU,1814939998,1814940021,88586,88393,0.0654046,70,0.0009344,1000000,-11.8708533,-77.0141523,-11.8713655,-77.0144478
165,4827894,AVENIDA TUPAC AMARU,1814940021,1814940047,88393,88702,0.0653343,70,0.0009333,1000000,-11.8713655,-77.0144478,-11.8718767,-77.0147438
166,4827894,AVENIDA TUPAC AMARU,1814940047,1814940067,88702,88379,0.0657158,70,0.0009388,1000000,-11.8718767,-77.0147438,-11.8723909,-77.0150415
167,4827894,AVENIDA TUPAC AMARU,1814940067,599286838,88379,88634,0.0642985,70,0.0009186,1000000,-11.8723909,-77.0150415,-11.872894,-77.0153328
168,4827894,AVENIDA TUPAC AMARU,599286838,1814195032,88634,87684,0.0740122,70,0.0010573,1000000,-11.872894,-77.0153328,-11.8734816,-77.0156523
169,4827894,AVENIDA TUPAC AMARU,1814195032,1814195038,87684,87661,0.0103992,70,0.0001486,1000000,-11.8734816,-77.0156523,-11.8735616,-77.0157018
170,4827894,AVENIDA TUPAC AMARU,1814195038,599286839,87661,87486,0.1293663,70,0.0018481,1000000,-11.8735616,-77.0157018,-11.8745775,-77.0162812
171,4827894,AVENIDA TUPAC AMARU,599286839,599286841,87486,87468,0.3940499,70,0.0056293,1000000,-11.8745775,-77.0162812,-11.8777453,-77.0178898
172,4827894,AVENIDA TUPAC AMARU,599286841,1814195837,87468,87678,0.0653954,70,0.0009342,1000000,-11.8777453,-77.0178898,-11.8781897,-77.0182831
173,4827894,AVENIDA TUPAC AMARU,1814195837,1814196027,87678,87628,0.064799,70,0.0009257,1000000,-11.8781897,-77.0182831,-11.8786223,-77.0186821
174,4827894,AVENIDA TUPAC AMARU,1814196027,1814196161,87628,87697,0.0650023,70,0.0009286,1000000,-11.8786223,-77.0186821,-11.8790589,-77.0190793
175,4827894,AVENIDA TUPAC AMARU,1814196161,599286845,87697,87627,0.3337575,70,0.004768,1000000,-11.8790589,-77.0190793,-11.8807266,-77.0215729
245,4827895,FRANCISO PIZARRO,885830995,885831116,19856,19834,0.0067897,60,0.0001132,1000000,-12.0350814,-77.0370749,-12.035042,-77.0371226
246,4827895,FRANCISO PIZARRO,885831116,1273456685,19834,44974,0.080905,60,0.0013484,1000000,-12.035042,-77.0371226,-12.0345735,-77.0376918
247,4827895,FRANCISO PIZARRO,1273456685,885831065,44974,19862,0.0342776,60,0.0005713,1000000,-12.0345735,-77.0376918,-12.0343731,-77.0379313
176,4827894,AVENIDA TUPAC AMARU,599286845,1814196767,87627,87535,0.1533335,70,0.0021905,1000000,-11.8807266,-77.0215729,-11.8813147,-77.022844
177,4827894,AVENIDA TUPAC AMARU,1814196767,1814196876,87535,87363,0.0911242,70,0.0013018,1000000,-11.8813147,-77.022844,-11.8818974,-77.0234251
178,4827894,AVENIDA TUPAC AMARU,1814196876,1814004606,87363,86996,0.1413854,70,0.0020198,1000000,-11.8818974,-77.0234251,-11.8830893,-77.0238218
179,4827894,AVENIDA TUPAC AMARU,1814004606,1814004786,86996,87400,0.5001527,70,0.007145,1000000,-11.8830893,-77.0238218,-11.8874411,-77.023839
180,4827894,AVENIDA TUPAC AMARU,1814004786,1814005037,87400,87205,0.416247,70,0.0059464,1000000,-11.8874411,-77.023839,-11.8899839,-77.0266367
181,4827894,AVENIDA TUPAC AMARU,1814005037,1814005064,87205,87128,0.0589601,70,0.0008423,1000000,-11.8899839,-77.0266367,-11.8903973,-77.0269758
182,4827894,AVENIDA TUPAC AMARU,1814005064,1814005067,87128,87127,0.0079304,70,0.0001133,1000000,-11.8903973,-77.0269758,-11.8904551,-77.0270185
183,4827894,AVENIDA TUPAC AMARU,1814005067,599286867,87127,87255,0.263598,70,0.0037657,1000000,-11.8904551,-77.0270185,-11.892444,-77.0283362
184,4827894,AVENIDA TUPAC AMARU,599286867,599286869,87255,94659,0.1130122,70,0.0016145,1000000,-11.892444,-77.0283362,-11.8933573,-77.0287917
185,4827894,AVENIDA TUPAC AMARU,599286869,1814005453,94659,86963,0.6131804,70,0.0087597,1000000,-11.8933573,-77.0287917,-11.8986641,-77.0303139
186,4827894,AVENIDA TUPAC AMARU,1814005453,599283678,86963,10610,0.0160505,70,0.0002293,1000000,-11.8986641,-77.0303139,-11.8988049,-77.0303464
188,4827894,AVENIDA TUPAC AMARU,1156771011,599281346,10608,88767,0.1829411,70,0.0026134,1000000,-11.8992698,-77.030441,-11.9009013,-77.030639
189,4827894,AVENIDA TUPAC AMARU,599281346,1814997477,88767,88746,0.081126,70,0.0011589,1000000,-11.9009013,-77.030639,-11.9016308,-77.0306277
190,4827894,AVENIDA TUPAC AMARU,1814997477,1756661538,88746,79107,0.2988472,70,0.0042692,1000000,-11.9016308,-77.0306277,-11.9042565,-77.0309888
191,4827894,AVENIDA TUPAC AMARU,1756661538,838231803,79107,15802,0.1133893,70,0.0016198,1000000,-11.9042565,-77.0309888,-11.905191,-77.0314059
192,4827894,AVENIDA TUPAC AMARU,838231803,838231802,15802,15801,0.0176572,70,0.0002522,1000000,-11.905191,-77.0314059,-11.9053368,-77.0314702
193,4827894,AVENIDA TUPAC AMARU,838231802,838231935,15801,15842,0.4736312,70,0.0067662,1000000,-11.9053368,-77.0314702,-11.9083702,-77.0342356
194,4827894,AVENIDA TUPAC AMARU,838231935,838231970,15842,15849,0.0215858,70,0.0003084,1000000,-11.9083702,-77.0342356,-11.9084533,-77.0344149
195,4827894,AVENIDA TUPAC AMARU,838231970,1256325834,15849,21973,1.2849066,70,0.0183558,1000000,-11.9084533,-77.0344149,-11.9171347,-77.041301
196,4827894,AVENIDA TUPAC AMARU,1256325834,1258299466,21973,22092,0.0100183,70,0.0001431,1000000,-11.9171347,-77.041301,-11.9172229,-77.0413198
197,4827894,AVENIDA TUPAC AMARU,1258299466,1271067483,22092,22082,1.4143788,70,0.0202054,1000000,-11.9172229,-77.0413198,-11.929636,-77.0438795
198,4827894,AVENIDA TUPAC AMARU,1271067483,1271067158,22082,90559,0.0252558,70,0.0003608,1000000,-11.929636,-77.0438795,-11.9298405,-77.0439805
199,4827894,AVENIDA TUPAC AMARU,1271067158,599286948,90559,22396,0.5133821,70,0.007334,1000000,-11.9298405,-77.0439805,-11.933577,-77.0467045
200,4827894,AVENIDA TUPAC AMARU,599286948,1314927798,22396,22409,0.0211137,70,0.0003016,1000000,-11.933577,-77.0467045,-11.9337333,-77.0468147
226,4827894,AVENIDA TUPAC AMARU,2470149703,1870265576,95818,90863,0.0153508,70,0.0002193,1000000,-12.0088897,-77.0536495,-12.0090244,-77.0536185
227,4827894,AVENIDA TUPAC AMARU,1870265576,1870265607,90863,15621,0.2234372,70,0.003192,1000000,-12.0090244,-77.0536185,-12.0109802,-77.0531484
